Date,Category,Subcategory,NumUniqUsers,NumMessages,Sentiment,AvgResponseTime,BotChannel,Week
2017-07-01,Store Questions,Intent,14,14,0.04,1159.00,FacebookMsgr,"Jun 26, 2017"
2017-07-01,Not Defined,Intent,8,8,0.16,601.25,FacebookMsgr,"Jun 26, 2017"
2017-07-01,Rewards,Intent,9,10,0.00,915.60,FacebookMsgr,"Jun 26, 2017"
2017-07-01,Track Order,Intent,2,2,0.00,189.00,FacebookMsgr,"Jun 26, 2017"
2017-07-01,Live Agent Request,Intent,24,46,0.00,214.76,FacebookMsgr,"Jun 26, 2017"
2017-07-01,Offers & Deals Question,Intent,36,39,0.01,2313.85,FacebookMsgr,"Jun 26, 2017"
2017-07-02,Offers & Deals Question,Intent,38,41,0.01,2436.10,FacebookMsgr,"Jun 26, 2017"
2017-07-02,Not Defined,Intent,11,13,0.03,523.69,FacebookMsgr,"Jun 26, 2017"
2017-07-02,Track Order,Intent,13,23,-0.01,473.48,FacebookMsgr,"Jun 26, 2017"
2017-07-02,Live Agent Request,Intent,22,31,0.03,268.84,FacebookMsgr,"Jun 26, 2017"
2017-07-02,Store Questions,Intent,19,19,0.01,961.42,FacebookMsgr,"Jun 26, 2017"
2017-07-02,Rewards,Intent,9,11,0.00,697.18,FacebookMsgr,"Jun 26, 2017"
2017-07-03,Rewards,Intent,14,17,0.00,287.53,FacebookMsgr,"Jul 3, 2017"
2017-07-03,Store Questions,Intent,26,34,-0.02,1278.41,FacebookMsgr,"Jul 3, 2017"
2017-07-03,Not Defined,Intent,19,26,0.12,496.00,FacebookMsgr,"Jul 3, 2017"
2017-07-03,Offers & Deals Question,Intent,43,53,0.01,2539.72,FacebookMsgr,"Jul 3, 2017"
2017-07-03,Live Agent Request,Intent,33,45,0.01,253.98,FacebookMsgr,"Jul 3, 2017"
2017-07-03,Track Order,Intent,15,24,-0.03,719.00,FacebookMsgr,"Jul 3, 2017"
2017-07-03,App,Help,1,1,0.00,1006.00,FacebookMsgr,"Jul 3, 2017"
2017-07-04,Track Order,Intent,13,18,-0.07,295.72,FacebookMsgr,"Jul 3, 2017"
2017-07-04,Offers & Deals Question,Intent,58,72,0.00,2694.61,FacebookMsgr,"Jul 3, 2017"
2017-07-04,Store Questions,Intent,30,32,0.02,1153.06,FacebookMsgr,"Jul 3, 2017"
2017-07-04,Live Agent Request,Intent,28,39,0.03,279.28,FacebookMsgr,"Jul 3, 2017"
2017-07-04,Rewards,Intent,11,12,0.03,277.92,FacebookMsgr,"Jul 3, 2017"
2017-07-04,Not Defined,Intent,19,23,0.10,581.52,FacebookMsgr,"Jul 3, 2017"
2017-07-05,Not Defined,Intent,24,40,0.10,485.78,FacebookMsgr,"Jul 3, 2017"
2017-07-05,Rewards,Intent,10,27,0.00,863.78,FacebookMsgr,"Jul 3, 2017"
2017-07-05,Store Questions,Intent,28,43,0.10,1071.47,FacebookMsgr,"Jul 3, 2017"
2017-07-05,Track Order,Intent,11,15,0.04,1172.27,FacebookMsgr,"Jul 3, 2017"
2017-07-05,Live Agent Request,Intent,30,47,-0.02,273.28,FacebookMsgr,"Jul 3, 2017"
2017-07-05,Pricing Questions,Intent,1,1,0.00,296.00,FacebookMsgr,"Jul 3, 2017"
2017-07-05,Offers & Deals Question,Intent,34,42,0.01,2902.36,FacebookMsgr,"Jul 3, 2017"
2017-07-05,Kohl's Cash Question,Intent,1,1,0.10,1532.00,FacebookMsgr,"Jul 3, 2017"
2017-07-05,Returns,Help,2,2,-0.40,1200.50,FacebookMsgr,"Jul 3, 2017"
2017-07-05,App,Help,1,1,0.00,1146.00,FacebookMsgr,"Jul 3, 2017"
2017-07-06,Not Defined,Intent,20,28,0.15,1371.61,FacebookMsgr,"Jul 3, 2017"
2017-07-06,Not Defined,Help,1,1,0.00,906.00,FacebookMsgr,"Jul 3, 2017"
2017-07-06,Rewards,Intent,14,18,-0.02,1468.28,FacebookMsgr,"Jul 3, 2017"
2017-07-06,Track Order,Intent,24,31,0.02,771.26,FacebookMsgr,"Jul 3, 2017"
2017-07-06,Store Questions,Intent,34,45,0.06,1416.02,FacebookMsgr,"Jul 3, 2017"
2017-07-06,Live Agent Request,Intent,28,35,-0.02,443.57,FacebookMsgr,"Jul 3, 2017"
2017-07-06,Offers & Deals Question,Intent,42,47,0.00,3152.45,FacebookMsgr,"Jul 3, 2017"
2017-07-06,App,Help,1,1,0.00,1220.00,FacebookMsgr,"Jul 3, 2017"
2017-07-06,Order Management,Help,1,1,-0.40,1751.00,FacebookMsgr,"Jul 3, 2017"
2017-07-07,Not Defined,Intent,24,52,0.06,519.13,FacebookMsgr,"Jul 3, 2017"
2017-07-07,Offers & Deals Question,Intent,40,63,0.04,3545.41,FacebookMsgr,"Jul 3, 2017"
2017-07-07,Pricing Questions,Intent,2,2,0.00,259.00,FacebookMsgr,"Jul 3, 2017"
2017-07-07,Track Order,Intent,33,66,0.07,938.38,FacebookMsgr,"Jul 3, 2017"
2017-07-07,Store Questions,Intent,13,13,0.05,1540.38,FacebookMsgr,"Jul 3, 2017"
2017-07-07,Live Agent Request,Intent,29,46,0.01,362.15,FacebookMsgr,"Jul 3, 2017"
2017-07-07,Rewards,Intent,17,33,0.00,3499.36,FacebookMsgr,"Jul 3, 2017"
2017-07-07,Kohl's Cash Question,Intent,1,1,0.20,4863.00,FacebookMsgr,"Jul 3, 2017"
2017-07-07,Returns,Help,3,3,-0.03,1597.00,FacebookMsgr,"Jul 3, 2017"
2017-07-08,Not Defined,Intent,15,16,0.11,647.88,FacebookMsgr,"Jul 3, 2017"
2017-07-08,Rewards,Intent,7,9,-0.06,292.11,FacebookMsgr,"Jul 3, 2017"
2017-07-08,Track Order,Intent,10,17,0.08,523.29,FacebookMsgr,"Jul 3, 2017"
2017-07-08,Offers & Deals Question,Intent,36,41,0.00,1621.27,FacebookMsgr,"Jul 3, 2017"
2017-07-08,Pricing Questions,Intent,11,11,0.00,252.91,FacebookMsgr,"Jul 3, 2017"
2017-07-08,Store Questions,Intent,30,36,0.08,953.78,FacebookMsgr,"Jul 3, 2017"
2017-07-08,Gift Cards,Intent,2,5,-0.20,460.60,FacebookMsgr,"Jul 3, 2017"
2017-07-08,Live Agent Request,Intent,21,34,-0.07,231.62,FacebookMsgr,"Jul 3, 2017"
2017-07-09,Live Agent Request,Intent,14,20,0.03,358.65,FacebookMsgr,"Jul 3, 2017"
2017-07-09,Store Questions,Intent,8,10,0.06,1050.00,FacebookMsgr,"Jul 3, 2017"
2017-07-09,Offers & Deals Question,Intent,33,39,0.01,1884.64,FacebookMsgr,"Jul 3, 2017"
2017-07-09,Rewards,Intent,4,4,0.00,216.50,FacebookMsgr,"Jul 3, 2017"
2017-07-09,Pricing Questions,Intent,12,12,0.00,267.08,FacebookMsgr,"Jul 3, 2017"
2017-07-09,Not Defined,Intent,5,8,0.13,411.00,FacebookMsgr,"Jul 3, 2017"
2017-07-09,Track Order,Intent,1,1,0.00,192.00,FacebookMsgr,"Jul 3, 2017"
2017-07-10,Pricing Questions,Intent,5,6,0.00,238.00,FacebookMsgr,"Jul 10, 2017"
2017-07-10,Track Order,Intent,9,16,0.04,518.00,FacebookMsgr,"Jul 10, 2017"
2017-07-10,Offers & Deals Question,Intent,49,69,0.04,2161.81,FacebookMsgr,"Jul 10, 2017"
2017-07-10,Offers & Deals Question,Help,1,1,0.30,1049.00,FacebookMsgr,"Jul 10, 2017"
2017-07-10,Not Defined,Intent,10,13,0.11,648.77,FacebookMsgr,"Jul 10, 2017"
2017-07-10,Kohl's Cash Question,Intent,1,2,0.10,1262.50,FacebookMsgr,"Jul 10, 2017"
2017-07-10,Store Questions,Intent,36,37,0.06,987.27,FacebookMsgr,"Jul 10, 2017"
2017-07-10,Rewards,Intent,11,18,0.00,777.17,FacebookMsgr,"Jul 10, 2017"
2017-07-10,Live Agent Request,Intent,21,32,0.02,175.50,FacebookMsgr,"Jul 10, 2017"
2017-07-11,Live Agent Request,Intent,35,54,-0.01,432.67,FacebookMsgr,"Jul 10, 2017"
2017-07-11,Track Order,Intent,26,50,0.04,799.78,FacebookMsgr,"Jul 10, 2017"
2017-07-11,Not Defined,Intent,23,35,0.09,540.71,FacebookMsgr,"Jul 10, 2017"
2017-07-11,Pricing Questions,Intent,1,1,0.00,1232.00,FacebookMsgr,"Jul 10, 2017"
2017-07-11,Offers & Deals Question,Intent,24,26,-0.01,2423.73,FacebookMsgr,"Jul 10, 2017"
2017-07-11,Store Questions,Intent,12,25,0.08,972.60,FacebookMsgr,"Jul 10, 2017"
2017-07-11,Rewards,Intent,10,12,-0.02,1221.92,FacebookMsgr,"Jul 10, 2017"
2017-07-11,Product Integrity,Help,1,1,0.40,331.00,FacebookMsgr,"Jul 10, 2017"
2017-07-11,Password,Help,1,1,-0.30,1656.00,FacebookMsgr,"Jul 10, 2017"
2017-07-11,Product Findability,Help,1,1,0.10,395.00,FacebookMsgr,"Jul 10, 2017"
2017-07-11,Returns,Help,1,1,-0.30,911.00,FacebookMsgr,"Jul 10, 2017"
2017-07-12,Live Agent Request,Intent,38,48,-0.01,193.44,FacebookMsgr,"Jul 10, 2017"
2017-07-12,Not Defined,Intent,13,17,0.06,493.71,FacebookMsgr,"Jul 10, 2017"
2017-07-12,Not Defined,Help,1,1,0.60,817.00,FacebookMsgr,"Jul 10, 2017"
2017-07-12,Rewards,Intent,12,18,-0.02,1114.33,FacebookMsgr,"Jul 10, 2017"
2017-07-12,Store Questions,Intent,22,28,0.05,875.89,FacebookMsgr,"Jul 10, 2017"
2017-07-12,Offers & Deals Question,Intent,38,49,0.02,2449.76,FacebookMsgr,"Jul 10, 2017"
2017-07-12,Track Order,Intent,18,24,0.02,614.29,FacebookMsgr,"Jul 10, 2017"
2017-07-12,Returns,Help,1,1,-0.40,1347.00,FacebookMsgr,"Jul 10, 2017"
2017-07-12,App,Help,2,2,0.00,709.50,FacebookMsgr,"Jul 10, 2017"
2017-07-13,Track Order,Intent,32,56,0.02,947.82,FacebookMsgr,"Jul 10, 2017"
2017-07-13,Track Order,Help,1,1,-0.10,823.00,FacebookMsgr,"Jul 10, 2017"
